idV,device,minV,maxV,diff,created
565087,pilot02,-1061.4014,-1048.4009,13.0004999999999,2020-02-28 00:01:58.953
565097,pilot02,-1057.0679,-1049.9268,7.14110000000005,2020-02-28 00:03:43.570
565109,pilot02,-1056.6406,-1051.3306,5.30999999999995,2020-02-28 00:05:49.730
565121,pilot02,-1059.6924,-1052.2461,7.44629999999984,2020-02-28 00:07:53.620
565133,pilot02,-1078.3691,-1032.1045,46.2646,2020-02-28 00:09:50.140
565145,pilot02,-1054.9316,-1050.415,4.51659999999993,2020-02-28 00:11:46.847
565157,pilot02,-1054.0771,-1050.415,3.66210000000001,2020-02-28 00:13:42.453
565171,pilot02,-1072.6929,-1046.0205,26.6723999999999,2020-02-28 00:15:58.903
565183,pilot02,-1068.6646,-1033.6304,35.0342000000001,2020-02-28 00:17:53.173
565195,pilot02,-1055.3589,-1050.293,5.06590000000006,2020-02-28 00:19:54.937
565207,pilot02,-1056.7627,-1053.2227,3.53999999999996,2020-02-28 00:21:59.220
565219,pilot02,-1057.6172,-1027.0386,30.5785999999998,2020-02-28 00:23:58.913
565231,pilot02,-1059.9365,-1033.0811,26.8553999999999,2020-02-28 00:25:56.200
565243,pilot02,-1057.373,-1051.8188,5.55420000000004,2020-02-28 00:27:51.387
565255,pilot02,-1055.1147,-1050.9033,4.21140000000014,2020-02-28 00:29:46.263
565267,pilot02,-1060.0586,-1052.1851,7.87350000000015,2020-02-28 00:31:42.830
565281,pilot02,-1067.9932,-1053.4058,14.5873999999999,2020-02-28 00:33:56.830
565293,pilot02,-1056.0913,-1050.5371,5.55420000000004,2020-02-28 00:35:51.423
565305,pilot02,-1056.2134,-1049.5605,6.65290000000005,2020-02-28 00:37:55.890
565316,pilot02,-1053.5278,-1050.4761,3.05169999999998,2020-02-28 00:39:56.993
565328,pilot02,-1063.8428,-1050.0488,13.7939999999999,2020-02-28 00:41:54.680
565340,pilot02,-1055.4199,-1049.1333,6.28660000000014,2020-02-28 00:43:50.803
565353,pilot02,-1053.7109,-1049.8047,3.90620000000013,2020-02-28 00:45:46.237
565365,pilot02,-1067.8101,-1049.4385,18.3715999999999,2020-02-28 00:47:42.890
565379,pilot02,-1059.082,-1049.8657,9.21630000000005,2020-02-28 00:49:57.047
565391,pilot02,-1055.6641,-1051.3306,4.33349999999996,2020-02-28 00:51:51.767
565403,pilot02,-1054.3213,-1049.4385,4.88280000000009,2020-02-28 00:53:52.567
565415,pilot02,-1064.8804,-1044.9829,19.8975,2020-02-28 00:55:59.197
565427,pilot02,-1069.7632,-1050.415,19.3482000000001,2020-02-28 00:57:59.700
565437,pilot02,-1054.7485,-1048.8281,5.92039999999997,2020-02-28 00:59:44.327
565451,pilot02,-1055.3589,-1048.7671,6.59179999999992,2020-02-28 01:01:57.333
565463,pilot02,-1056.7017,-1042.1143,14.5874000000001,2020-02-28 01:03:51.177
565475,pilot02,-1057.6172,-1047.0581,10.5590999999999,2020-02-28 01:05:44.990
565489,pilot02,-1053.6499,-1049.0723,4.57759999999985,2020-02-28 01:07:58.653
565501,pilot02,-1056.0913,-1052.124,3.96730000000002,2020-02-28 01:09:55.913
565513,pilot02,-1053.772,-1040.2222,13.5498,2020-02-28 01:11:54.847
565525,pilot02,-1058.3496,-1028.5645,29.7851000000001,2020-02-28 01:13:53.997
565537,pilot02,-1054.8096,-1051.2695,3.54009999999994,2020-02-28 01:15:54.337
565549,pilot02,-1052.8564,-1050.1099,2.74649999999997,2020-02-28 01:17:50.173
565561,pilot02,-1052.1851,-1041.3818,10.8032999999998,2020-02-28 01:19:45.000
565575,pilot02,-1062.561,-1046.936,15.625,2020-02-28 01:21:59.117
565587,pilot02,-1051.3306,-1047.4854,3.84519999999998,2020-02-28 01:23:53.460
565599,pilot02,-1054.3823,-1046.2036,8.17869999999994,2020-02-28 01:25:53.947
565611,pilot02,-1051.5747,-1043.8232,7.75149999999985,2020-02-28 01:27:55.630
565622,pilot02,-1057.0679,-1032.0435,25.0244,2020-02-28 01:29:58.687
565634,pilot02,-1052.1851,-1048.0347,4.15039999999999,2020-02-28 01:31:56.040
565647,pilot02,-1053.4668,-1049.1943,4.27249999999981,2020-02-28 01:33:54.097
565659,pilot02,-1056.4575,-1048.2178,8.23970000000008,2020-02-28 01:35:51.587
565671,pilot02,-1061.8286,-1036.8652,24.9634000000001,2020-02-28 01:37:46.063
565685,pilot02,-1054.8096,-1047.4854,7.32420000000002,2020-02-28 01:39:59.570
565697,pilot02,-1052.9785,-1049.8047,3.17380000000003,2020-02-28 01:41:56.270
565709,pilot02,-1056.0913,-1050.415,5.67630000000008,2020-02-28 01:43:51.233
565721,pilot02,-1057.7393,-1032.1045,25.6348,2020-02-28 01:45:52.620
565733,pilot02,-1053.4668,-1051.3916,2.0752,2020-02-28 01:47:55.490
565745,pilot02,-1050.9033,-1046.936,3.96730000000002,2020-02-28 01:49:57.557
565758,pilot02,-1053.0396,-1034.0576,18.982,2020-02-28 01:51:54.200
565770,pilot02,-1061.0352,-1022.9492,38.086,2020-02-28 01:53:51.437
565782,pilot02,-1052.9785,-1046.7529,6.22559999999999,2020-02-28 01:55:47.590
565794,pilot02,-1052.7344,-1046.1426,6.59180000000015,2020-02-28 01:57:43.207
565806,pilot02,-1054.6875,-1046.3867,8.30079999999998,2020-02-28 01:59:42.560
565808,pilot02,-1050.9033,-1050.9033,0,2020-02-28 02:00:01.603
565811,pilot02,-1024.231,-1011.3525,12.8785,2020-02-28 02:17:46.237
565817,pilot02,-1030.0903,-1023.9258,6.16450000000009,2020-02-28 02:19:53.260
565829,pilot02,-1037.1094,-1030.1514,6.95800000000008,2020-02-28 02:21:56.727
565841,pilot02,-1036.7432,-1028.1372,8.60599999999999,2020-02-28 02:23:53.840
565853,pilot02,-1049.4995,-1020.3247,29.1747999999999,2020-02-28 02:25:51.803
565865,pilot02,-1045.0439,-1035.7666,9.27729999999997,2020-02-28 02:27:50.263
565877,pilot02,-1045.105,-1040.3442,4.76080000000002,2020-02-28 02:29:49.363
565889,pilot02,-1052.9785,-1042.7246,10.2538999999999,2020-02-28 02:31:46.190
565902,pilot02,-1057.5562,-1025.9399,31.6162999999999,2020-02-28 02:33:54.283
565912,pilot02,-1047.6074,-1041.0156,6.59180000000015,2020-02-28 02:35:44.727
565924,pilot02,-1045.9595,-1043.396,2.56349999999998,2020-02-28 02:37:43.893
565936,pilot02,-1054.6265,-1042.4194,12.2071000000001,2020-02-28 02:39:41.110
565950,pilot02,-1047.9126,-1029.7852,18.1274000000001,2020-02-28 02:41:57.683
565962,pilot02,-1049.0723,-1043.396,5.67630000000008,2020-02-28 02:43:53.920
565973,pilot02,-1046.3257,-1045.0439,1.2818000000002,2020-02-28 02:45:50.800
565986,pilot02,-1051.3916,-1033.1421,18.2494999999999,2020-02-28 02:47:55.363
565996,pilot02,-1058.7769,-1028.7476,30.0293000000001,2020-02-28 02:49:44.897
566008,pilot02,-1048.4619,-1046.5698,1.89210000000003,2020-02-28 02:51:51.830
566020,pilot02,-1050.354,-1046.2036,4.15039999999999,2020-02-28 02:53:53.393
566032,pilot02,-1048.0347,-1042.5415,5.49319999999989,2020-02-28 02:55:52.583
566044,pilot02,-1056.0913,-1025.6348,30.4565,2020-02-28 02:57:50.520
566054,pilot02,-1050.1099,-1043.9453,6.16459999999984,2020-02-28 02:59:40.820
566066,pilot02,-1048.1567,-1041.748,6.40869999999995,2020-02-28 03:01:40.817
566078,pilot02,-1046.814,-1035.2173,11.5967000000001,2020-02-28 03:03:43.960
566090,pilot02,-1053.772,-1035.2173,18.5546999999999,2020-02-28 03:05:44.397
566102,pilot02,-1050.7202,-1041.626,9.0942,2020-02-28 03:07:43.913
566114,pilot02,-1050.293,-1044.3115,5.98149999999987,2020-02-28 03:09:40.837
566126,pilot02,-1060.6079,-1043.8232,16.7846999999999,2020-02-28 03:11:43.147
566138,pilot02,-1063.8428,-1041.0767,22.7660999999998,2020-02-28 03:13:41.107
566152,pilot02,-1047.9126,-1043.2739,4.6387000000002,2020-02-28 03:15:55.630
566163,pilot02,-1048.1567,-1042.9688,5.1878999999999,2020-02-28 03:17:53.293
566175,pilot02,-1051.7578,-1045.2271,6.53070000000002,2020-02-28 03:19:55.780
566187,pilot02,-1049.6216,-1032.7148,16.9068,2020-02-28 03:21:57.737
566199,pilot02,-1049.7437,-1043.7012,6.04250000000002,2020-02-28 03:23:54.707
566211,pilot02,-1051.0864,-1048.0957,2.99069999999983,2020-02-28 03:25:53.480
566223,pilot02,-1054.3213,-1045.7764,8.5449000000001,2020-02-28 03:27:53.513
566235,pilot02,-1053.833,-1024.231,29.6020000000001,2020-02-28 03:29:52.607
566247,pilot02,-1052.6733,-1047.7905,4.88279999999986,2020-02-28 03:31:48.077
566259,pilot02,-1051.9409,-1045.7764,6.16450000000009,2020-02-28 03:33:55.000
566269,pilot02,-1061.5234,-1044.2505,17.2728999999999,2020-02-28 03:35:42.487
566281,pilot02,-1069.7021,-1038.208,31.4940999999999,2020-02-28 03:37:47.023
566293,pilot02,-1050.415,-1045.2881,5.12689999999998,2020-02-28 03:39:44.503
566305,pilot02,-1048.3398,-1042.1143,6.22550000000001,2020-02-28 03:41:42.260
566317,pilot02,-1048.8892,-1045.7764,3.11280000000011,2020-02-28 03:43:42.370
566329,pilot02,-1057.9224,-1021.3013,36.6211,2020-02-28 03:45:41.547
566343,pilot02,-1048.584,-1043.7012,4.88280000000009,2020-02-28 03:47:59.750
566353,pilot02,-1047.0581,-1044.5557,2.50240000000008,2020-02-28 03:49:44.730
566365,pilot02,-1049.7437,-1033.2642,16.4794999999999,2020-02-28 03:51:46.940
566377,pilot02,-1061.9507,-1022.3999,39.5508000000001,2020-02-28 03:53:44.093
566389,pilot02,-1047.6074,-1041.687,5.9204000000002,2020-02-28 03:55:43.060
566403,pilot02,-1047.9126,-1042.7246,5.1880000000001,2020-02-28 03:57:59.420
566415,pilot02,-1050.4761,-1029.9072,20.5689,2020-02-28 03:59:55.937
566427,pilot02,-1058.3496,-1038.0249,20.3247000000001,2020-02-28 04:01:54.543
566439,pilot02,-1051.5747,-1040.4663,11.1083999999998,2020-02-28 04:03:59.257
566449,pilot02,-1050.5371,-1044.0674,6.4697000000001,2020-02-28 04:05:44.687
566461,pilot02,-1049.5605,-1042.6025,6.95800000000008,2020-02-28 04:07:44.467
566473,pilot02,-1052.4292,-1033.8135,18.6157000000001,2020-02-28 04:09:41.927
566487,pilot02,-1048.8281,-1042.6636,6.16449999999986,2020-02-28 04:11:56.483
566499,pilot02,-1050.1709,-1046.2036,3.96730000000002,2020-02-28 04:13:53.427
566511,pilot02,-1050.2319,-1045.3491,4.88280000000009,2020-02-28 04:15:52.370
566523,pilot02,-1051.6357,-1045.9595,5.67620000000011,2020-02-28 04:17:58.600
566532,pilot02,-1049.3774,-1046.2646,3.11280000000011,2020-02-28 04:19:44.173
566544,pilot02,-1051.8188,-1043.8843,7.93450000000007,2020-02-28 04:21:44.393
566556,pilot02,-1051.0254,-1035.0342,15.9911999999999,2020-02-28 04:23:42.163
566568,pilot02,-1065.4907,-1030.1514,35.3393000000001,2020-02-28 04:25:41.353
566582,pilot02,-1049.0112,-1045.5322,3.47899999999981,2020-02-28 04:27:56.497
566594,pilot02,-1048.4619,-1043.9453,4.51659999999993,2020-02-28 04:29:56.117
566606,pilot02,-1054.3823,-1041.9922,12.3901000000001,2020-02-28 04:31:59.057
566616,pilot02,-1069.519,-1045.2881,24.2309,2020-02-28 04:33:41.423
566628,pilot02,-1050.1099,-1044.9219,5.18799999999987,2020-02-28 04:35:48.423
566640,pilot02,-1049.8047,-1046.5698,3.23489999999993,2020-02-28 04:37:47.237
566652,pilot02,-1050.9644,-1044.0063,6.95810000000006,2020-02-28 04:39:43.743
566666,pilot02,-1059.2041,-1031.189,28.0150999999998,2020-02-28 04:41:59.590
566678,pilot02,-1050.1709,-1045.2881,4.88280000000009,2020-02-28 04:43:56.067
566690,pilot02,-1047.9736,-1043.396,4.57760000000007,2020-02-28 04:45:54.210
566700,pilot02,-1056.0913,-1044.6167,11.4746,2020-02-28 04:47:38.077
566713,pilot02,-1058.7769,-1048.1567,10.6202000000001,2020-02-28 04:49:45.710
566725,pilot02,-1049.4995,-1045.6543,3.84519999999998,2020-02-28 04:51:43.313
566739,pilot02,-1048.4009,-1045.7153,2.68560000000002,2020-02-28 04:53:57.450
566751,pilot02,-1051.8188,-1043.5791,8.23970000000008,2020-02-28 04:55:55.313
566763,pilot02,-1063.2324,-1027.8931,35.3393000000001,2020-02-28 04:57:53.020
566775,pilot02,-1050.2319,-1045.8374,4.39450000000011,2020-02-28 04:59:53.143
566787,pilot02,-1050.4761,-1046.5698,3.9063000000001,2020-02-28 05:01:56.630
566799,pilot02,-1052.4292,-1045.5322,6.89699999999993,2020-02-28 05:03:59.220
566811,pilot02,-1056.7627,-1027.0386,29.7240999999999,2020-02-28 05:05:59.060
566823,pilot02,-1050.9644,-1046.7529,4.21150000000011,2020-02-28 05:07:57.990
566835,pilot02,-1050.8423,-1044.6167,6.22559999999999,2020-02-28 05:09:56.223
566847,pilot02,-1063.7817,-1047.6074,16.1742999999999,2020-02-28 05:11:52.477
566859,pilot02,-1054.0161,-1030.6396,23.3765000000001,2020-02-28 05:13:47.970
566871,pilot02,-1051.5137,-1046.0815,5.43219999999997,2020-02-28 05:15:46.850
566882,pilot02,-1049.8657,-1045.2271,4.6386,2020-02-28 05:17:46.773
566895,pilot02,-1052.063,-1038.9404,13.1226000000001,2020-02-28 05:19:55.543
566907,pilot02,-1063.6597,-1042.1753,21.4843999999998,2020-02-28 05:21:56.863
566918,pilot02,-1050.5371,-1046.814,3.72309999999993,2020-02-28 05:23:53.480
566931,pilot02,-1052.4292,-1049.8047,2.62450000000013,2020-02-28 05:25:54.510
566943,pilot02,-1053.5889,-1048.2178,5.37110000000007,2020-02-28 05:27:52.613
566955,pilot02,-1054.2603,-1031.7993,22.461,2020-02-28 05:29:52.377
566967,pilot02,-1051.0864,-1046.6919,4.39449999999988,2020-02-28 05:31:47.720
566979,pilot02,-1052.3071,-1047.6074,4.69969999999989,2020-02-28 05:33:50.270
566990,pilot02,-1050.9644,-1038.0249,12.9395000000002,2020-02-28 05:35:50.227
567002,pilot02,-1063.7817,-1038.8794,24.9023,2020-02-28 05:37:55.133
567015,pilot02,-1049.0723,-1046.3257,2.74659999999994,2020-02-28 05:39:56.757
567027,pilot02,-1049.2554,-1046.2646,2.99080000000004,2020-02-28 05:41:54.180
567039,pilot02,-1058.1665,-1045.8374,12.3291000000002,2020-02-28 05:43:49.337
567050,pilot02,-1071.7163,-1046.5698,25.1465000000001,2020-02-28 05:45:47.847
567062,pilot02,-1049.3164,-1047.7905,1.52589999999987,2020-02-28 05:47:45.670
567074,pilot02,-1051.8188,-1045.9595,5.85930000000008,2020-02-28 05:49:44.810
567087,pilot02,-1064.7583,-1048.1567,16.6016,2020-02-28 05:51:52.767
567099,pilot02,-1070.1904,-1033.6914,36.499,2020-02-28 05:53:53.157
567111,pilot02,-1051.4526,-1046.0205,5.43209999999999,2020-02-28 05:55:55.503
567123,pilot02,-1051.8188,-1045.8984,5.92039999999997,2020-02-28 05:57:57.653
567135,pilot02,-1053.3447,-1037.2314,16.1133000000002,2020-02-28 05:59:56.337
567147,pilot02,-1068.2983,-1045.0439,23.2544,2020-02-28 06:01:55.380
567159,pilot02,-1052.2461,-1048.0347,4.21140000000014,2020-02-28 06:03:53.040
567171,pilot02,-1054.5654,-1050.8423,3.72309999999993,2020-02-28 06:05:48.843
567183,pilot02,-1060.2417,-1046.1426,14.0991000000001,2020-02-28 06:07:47.100
567195,pilot02,-1067.749,-1045.4102,22.3388,2020-02-28 06:09:48.037
567208,pilot02,-1053.1006,-1050.1709,2.92969999999991,2020-02-28 06:11:55.503
567220,pilot02,-1052.063,-1047.7905,4.27250000000004,2020-02-28 06:13:54.333
567232,pilot02,-1053.833,-1038.9404,14.8926000000001,2020-02-28 06:15:53.287
567244,pilot02,-1060.791,-1036.377,24.414,2020-02-28 06:17:50.037
567256,pilot02,-1052.7954,-1049.4995,3.29590000000007,2020-02-28 06:19:48.163
567268,pilot02,-1056.0913,-1044.6777,11.4136000000001,2020-02-28 06:21:51.320
567280,pilot02,-1051.8799,-1047.3633,4.51659999999993,2020-02-28 06:23:55.470
567292,pilot02,-1066.5283,-1026.8555,39.6728000000001,2020-02-28 06:25:56.440
567304,pilot02,-1053.4668,-1046.5088,6.95799999999986,2020-02-28 06:27:55.617
567316,pilot02,-1053.3447,-1045.5933,7.7514000000001,2020-02-28 06:29:55.907
567328,pilot02,-1056.4575,-1047.1191,9.33840000000009,2020-02-28 06:31:53.250
567340,pilot02,-1069.519,-1044.8608,24.6582000000001,2020-02-28 06:33:49.777
567352,pilot02,-1055.481,-1049.3164,6.16460000000006,2020-02-28 06:35:48.880
567364,pilot02,-1053.4058,-1049.9878,3.41799999999989,2020-02-28 06:37:45.337
567375,pilot02,-1063.1104,-1048.9502,14.1602,2020-02-28 06:39:46.343
567388,pilot02,-1071.7163,-1043.0908,28.6255000000001,2020-02-28 06:41:48.933
567399,pilot02,-1054.5654,-1051.1475,3.41789999999992,2020-02-28 06:43:47.160
567412,pilot02,-1054.4434,-1048.8892,5.55420000000004,2020-02-28 06:45:50.857
567423,pilot02,-1054.3823,-1049.1943,5.18799999999987,2020-02-28 06:47:50.077
567435,pilot02,-1088.501,-962.4023,126.0987,2020-02-28 06:49:48.267
567448,pilot02,-1074.3408,-1007.7515,66.5893,2020-02-28 06:51:51.927
567460,pilot02,-1175.7202,-952.6367,223.0835,2020-02-28 06:53:57.503
567472,pilot02,-1091.1255,-953.8574,137.2681,2020-02-28 06:55:56.113
567484,pilot02,-1090.21,-955.6274,134.5826,2020-02-28 06:57:55.190
567496,pilot02,-1139.9536,-974.1821,165.7715,2020-02-28 06:59:52.707
567508,pilot02,-1156.7383,-885.5591,271.1792,2020-02-28 07:01:48.330
567520,pilot02,-1037.1094,-956.665,80.4444000000001,2020-02-28 07:03:44.243
567534,pilot02,-1081.604,-948.5474,133.0566,2020-02-28 07:05:59.470
567546,pilot02,-1176.7578,-1046.3257,130.4321,2020-02-28 07:07:57.863
567558,pilot02,-1175.7202,-972.29,203.4302,2020-02-28 07:09:56.087
567570,pilot02,-1075.8667,-973.2666,102.6001,2020-02-28 07:11:55.623
567582,pilot02,-1075.7446,-1041.0156,34.729,2020-02-28 07:13:52.043
567593,pilot02,-1066.4673,-1059.3872,7.08010000000013,2020-02-28 07:15:49.567
567605,pilot02,-1070.4346,-1065.1855,5.2491,2020-02-28 07:17:47.367
567617,pilot02,-1086.853,-1064.8193,22.0337,2020-02-28 07:19:42.887
567631,pilot02,-1221.2524,-989.0137,232.2387,2020-02-28 07:21:56.600
567644,pilot02,-1072.5098,-1036.3159,36.1939,2020-02-28 07:23:54.187
567656,pilot02,-1067.9321,-1064.7583,3.17380000000003,2020-02-28 07:25:57.363
567668,pilot02,-1068.8477,-1063.9038,4.94389999999999,2020-02-28 07:27:53.547
567680,pilot02,-1075.8667,-1050.5371,25.3296,2020-02-28 07:29:48.610
567692,pilot02,-1086.5479,-1065.0024,21.5454999999999,2020-02-28 07:31:43.350
567704,pilot02,-1068.7866,-1064.6362,4.15039999999999,2020-02-28 07:33:43.203
567716,pilot02,-1117.7368,-971.0693,146.6675,2020-02-28 07:35:41.623
567730,pilot02,-1094.9707,-1042.3584,52.6123,2020-02-28 07:37:56.350
567742,pilot02,-1067.3828,-1060.9741,6.40870000000018,2020-02-28 07:39:56.873
567754,pilot02,-1070.0684,-1064.5142,5.55420000000004,2020-02-28 07:41:52.897
567766,pilot02,-1080.9326,-1048.2178,32.7148000000002,2020-02-28 07:43:50.087
567778,pilot02,-1077.5757,-1058.8989,18.6768000000002,2020-02-28 07:45:45.233
567792,pilot02,-1072.5098,-1065.2466,7.2632000000001,2020-02-28 07:47:59.853
567804,pilot02,-1171.2646,-936.5234,234.7412,2020-02-28 07:49:56.397
567816,pilot02,-1148.8647,-975.9521,172.9126,2020-02-28 07:51:52.927
567828,pilot02,-1172.3633,-1031.8604,140.5029,2020-02-28 07:53:49.747
567840,pilot02,-1084.8389,-978.7598,106.0791,2020-02-28 07:55:44.650
567854,pilot02,-1199.0967,-960.7544,238.3423,2020-02-28 07:57:59.800
567866,pilot02,-1098.2666,-920.7153,177.5513,2020-02-28 07:59:54.993
567878,pilot02,-1198.0591,-962.5854,235.4737,2020-02-28 08:01:51.103
567890,pilot02,-1160.7666,-997.8027,162.9639,2020-02-28 08:03:47.590
567902,pilot02,-1105.4077,-947.4487,157.959,2020-02-28 08:05:42.553
